ID,SKU,Nombre,Publicado,"Visibilidad en el catálogo",Categorías,Imágenes
592,AR-PASSION-SOUR-250,"Aroma Passion Sour - 250 mL",1,visible,,
593,AR-PASSION-SOUR-500,"Aroma Passion Sour - 500 mL",1,visible,,
594,AR-PASSION-SOUR-1L,"Aroma Passion Sour - 1 L",1,visible,,
595,AR-PEONIA-150,"Aroma Peonia - 150 mL",1,visible,,
596,AR-PEONIA-250,"Aroma Peonia - 250 mL",1,visible,,
597,AR-PEONIA-500,"Aroma Peonia - 500 mL",1,visible,,
598,AR-PEONIA-1L,"Aroma Peonia - 1 L",1,visible,,
599,AR-PINK-GLOW-150,"Aroma Pink Glow - 150 mL",1,visible,,
600,AR-PINK-GLOW-250,"Aroma Pink Glow - 250 mL",1,visible,,
601,AR-PINK-GLOW-500,"Aroma Pink Glow - 500 mL",1,visible,,
602,AR-PINK-GLOW-1L,"Aroma Pink Glow - 1 L",1,visible,,
603,AR-PRIMAVERA-150,"Aroma Primavera - 150 mL",1,visible,,
604,AR-PRIMAVERA-250,"Aroma Primavera - 250 mL",1,visible,,
605,AR-PRIMAVERA-500,"Aroma Primavera - 500 mL",1,visible,,
606,AR-PRIMAVERA-1L,"Aroma Primavera - 1 L",1,visible,,
607,AR-RED-CARPET-150,"Aroma Red Carpet - 150 mL",0,visible,,
608,AR-RED-CARPET-250,"Aroma Red Carpet - 250 mL",0,visible,,
609,AR-RED-CARPET-500,"Aroma Red Carpet - 500 mL",0,visible,,
610,AR-RED-CARPET-1L,"Aroma Red Carpet - 1 L",0,visible,,
611,AR-ROSA-PASIONAL,"Aroma Rosa Pasional",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Rosa-pasional.png
612,AR-ROSE,"Aroma Rosé",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/rose.png
613,AR-RUTA-AROMATICA,"Aroma Ruta Aromática",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/ruta-aromatica.png
614,AR-SERENITY,"Aroma Serenity",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/serenity.png
615,AR-SHEA,"Aroma Shea",0,visible,Aromas,
616,AR-SOFT-PEAR,"Aroma Soft Pear",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/soft-pear.png
617,AR-ROSA-PASIONAL-150,"Aroma Rosa Pasional - 150 mL",1,visible,,
618,AR-ROSA-PASIONAL-250,"Aroma Rosa Pasional - 250 mL",1,visible,,
619,AR-ROSA-PASIONAL-500,"Aroma Rosa Pasional - 500 mL",1,visible,,
620,AR-ROSA-PASIONAL-1L,"Aroma Rosa Pasional - 1 L",1,visible,,
621,AR-ROSE-150,"Aroma Rosé - 150 mL",1,visible,,
622,AR-ROSE-250,"Aroma Rosé - 250 mL",1,visible,,
623,AR-ROSE-500,"Aroma Rosé - 500 mL",1,visible,,
624,AR-ROSE-1L,"Aroma Rosé - 1 L",1,visible,,
625,AR-RUTA-AROMATICA-150,"Aroma Ruta Aromática - 150 mL",1,visible,,
626,AR-RUTA-AROMATICA-250,"Aroma Ruta Aromática - 250 mL",1,visible,,
627,AR-RUTA-AROMATICA-500,"Aroma Ruta Aromática - 500 mL",1,visible,,
628,AR-RUTA-AROMATICA-1L,"Aroma Ruta Aromática - 1 L",1,visible,,
629,AR-SERENITY-150,"Aroma Serenity - 150 mL",1,visible,,
630,AR-SERENITY-250,"Aroma Serenity - 250 mL",1,visible,,
631,AR-SERENITY-500,"Aroma Serenity - 500 mL",1,visible,,
632,AR-SERENITY-1L,"Aroma Serenity - 1 L",1,visible,,
633,AR-SHEA-150,"Aroma Shea - 150 mL",0,visible,,
634,AR-SHEA-250,"Aroma Shea - 250 mL",0,visible,,
635,AR-SHEA-500,"Aroma Shea - 500 mL",0,visible,,
636,AR-SHEA-1L,"Aroma Shea - 1 L",0,visible,,
637,AR-SOFT-PEAR-150,"Aroma Soft Pear - 150 mL",1,visible,,
638,AR-SOFT-PEAR-250,"Aroma Soft Pear - 250 mL",1,visible,,
639,AR-SOFT-PEAR-500,"Aroma Soft Pear - 500 mL",1,visible,,
640,AR-SOFT-PEAR-1L,"Aroma Soft Pear - 1 L",1,visible,,
641,AR-SUNNY,"Aroma Sunny",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/sunny.png
642,AR-SWEET-HARVEST,"Aroma Sweet Harvest",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/sweet-harvest.png
643,AR-TE-SILVESTRE,"Aroma Té Silvestre",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/te-silvestre.png
644,AR-TROPICAL-FRUITS,"Aroma Tropical Fruits",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/tropical-fruits.png
645,AR-URBAN-FIT,"Aroma Urban Fit",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/urban-fit.png
646,AR-VAINILLA-GLOW,"Aroma Vainilla Glow",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/vainilla-glow.png
647,AR-SUNNY-150,"Aroma Sunny - 150 mL",1,visible,,
648,AR-SUNNY-250,"Aroma Sunny - 250 mL",1,visible,,
649,AR-SUNNY-500,"Aroma Sunny - 500 mL",1,visible,,
650,AR-SUNNY-1L,"Aroma Sunny - 1 L",1,visible,,
651,AR-SWEET-HARVEST-150,"Aroma Sweet Harvest - 150 mL",1,visible,,
652,AR-SWEET-HARVEST-250,"Aroma Sweet Harvest - 250 mL",1,visible,,
653,AR-SWEET-HARVEST-500,"Aroma Sweet Harvest - 500 mL",1,visible,,
654,AR-SWEET-HARVEST-1L,"Aroma Sweet Harvest - 1 L",1,visible,,
655,AR-TE-SILVESTRE-150,"Aroma Té Silvestre - 150 mL",1,visible,,
656,AR-TE-SILVESTRE-250,"Aroma Té Silvestre - 250 mL",1,visible,,
