ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variable,AR-SHEA,Aroma Shea,0,visible,,1,,taxable,,Aromas,,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Manzana jugosa, frutos rojos",field_6a3739f9978a5,"Cacao cremoso, flores blancas",field_6a373a0b978a6,"Rosa damascena, vainilla suave",field_6a373a15978a7
,variation,AR-SHEA-150,Aroma Shea 150 ML,0,visible,,1,100,taxable,90.00,Aromas,,AR-SHEA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-SHEA-250,Aroma Shea 250 ML,0,visible,,1,100,taxable,125.00,Aromas,,AR-SHEA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-SHEA-500,Aroma Shea 500 ML,0,visible,,1,100,taxable,229.00,Aromas,,AR-SHEA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-SHEA-1L,Aroma Shea 1 L,0,visible,,1,100,taxable,439.00,Aromas,,AR-SHEA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-SOFT-PEAR,Aroma Soft Pear,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/soft-pear.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Pera madura, néctar de durazno",field_6a3739f9978a5,"Flor de azahar, jazmín",field_6a373a0b978a6,"Ámbar dorado, vainilla",field_6a373a15978a7
,variation,AR-SOFT-PEAR-150,Aroma Soft Pear 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-SOFT-PEAR,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-SOFT-PEAR-250,Aroma Soft Pear 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-SOFT-PEAR,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-SOFT-PEAR-500,Aroma Soft Pear 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-SOFT-PEAR,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-SOFT-PEAR-1L,Aroma Soft Pear 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-SOFT-PEAR,Capacidad,1 L,1,1,,,,,,,
,variable,AR-SUNNY,Aroma Sunny,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/sunny.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Piña, limón siciliano",field_6a3739f9978a5,"Flor de tiaré, jazmín solar",field_6a373a0b978a6,"Vainilla tropical, coco",field_6a373a15978a7
,variation,AR-SUNNY-150,Aroma Sunny 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-SUNNY,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-SUNNY-250,Aroma Sunny 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-SUNNY,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-SUNNY-500,Aroma Sunny 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-SUNNY,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-SUNNY-1L,Aroma Sunny 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-SUNNY,Capacidad,1 L,1,1,,,,,,,
,variable,AR-SWEET-HARVEST,Aroma Sweet Harvest,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/sweet-harvest.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Manzana roja, pera",field_6a3739f9978a5,"Canela, clavo de olor",field_6a373a0b978a6,"Vainilla, madera de cedro",field_6a373a15978a7
,variation,AR-SWEET-HARVEST-150,Aroma Sweet Harvest 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-SWEET-HARVEST,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-SWEET-HARVEST-250,Aroma Sweet Harvest 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-SWEET-HARVEST,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-SWEET-HARVEST-500,Aroma Sweet Harvest 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-SWEET-HARVEST,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-SWEET-HARVEST-1L,Aroma Sweet Harvest 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-SWEET-HARVEST,Capacidad,1 L,1,1,,,,,,,
,variable,AR-TE-SILVESTRE,Aroma Té Silvestre,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/te-silvestre.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Hierba luisa fresca, lima verde",field_6a3739f9978a5,"Té verde, hojas de menta",field_6a373a0b978a6,"Musgo blanco, lavanda",field_6a373a15978a7
,variation,AR-TE-SILVESTRE-150,Aroma Té Silvestre 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-TE-SILVESTRE,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-TE-SILVESTRE-250,Aroma Té Silvestre 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-TE-SILVESTRE,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-TE-SILVESTRE-500,Aroma Té Silvestre 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-TE-SILVESTRE,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-TE-SILVESTRE-1L,Aroma Té Silvestre 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-TE-SILVESTRE,Capacidad,1 L,1,1,,,,,,,
,variable,AR-TROPICAL-FRUITS,Aroma Tropical Fruits,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/tropical-fruits.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Granada jugosa, mango",field_6a3739f9978a5,"Flor de hibiscus, piña",field_6a373a0b978a6,"Ámbar dulce, vainilla",field_6a373a15978a7
,variation,AR-TROPICAL-FRUITS-150,Aroma Tropical Fruits 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-TROPICAL-FRUITS,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-TROPICAL-FRUITS-250,Aroma Tropical Fruits 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-TROPICAL-FRUITS,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-TROPICAL-FRUITS-500,Aroma Tropical Fruits 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-TROPICAL-FRUITS,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-TROPICAL-FRUITS-1L,Aroma Tropical Fruits 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-TROPICAL-FRUITS,Capacidad,1 L,1,1,,,,,,,
,variable,AR-URBAN-FIT,Aroma Urban Fit,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/urban-fit.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Madera de roble, bergamota",field_6a3739f9978a5,"Notas acuáticos, especias",field_6a373a0b978a6,"Cedro blanco, almizcle",field_6a373a15978a7
,variation,AR-URBAN-FIT-150,Aroma Urban Fit 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-URBAN-FIT,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-URBAN-FIT-250,Aroma Urban Fit 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-URBAN-FIT,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-URBAN-FIT-500,Aroma Urban Fit 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-URBAN-FIT,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-URBAN-FIT-1L,Aroma Urban Fit 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-URBAN-FIT,Capacidad,1 L,1,1,,,,,,,
,variable,AR-VAINILLA-GLOW,Aroma Vainilla Glow,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/vainilla-glow.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Vainilla, ralladura de naranja",field_6a3739f9978a5,"Caramelo suave, crema batida",field_6a373a0b978a6,"Madera cálida, azúcar moreno",field_6a373a15978a7
,variation,AR-VAINILLA-GLOW-150,Aroma Vainilla Glow 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-VAINILLA-GLOW,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-VAINILLA-GLOW-250,Aroma Vainilla Glow 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-VAINILLA-GLOW,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-VAINILLA-GLOW-500,Aroma Vainilla Glow 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-VAINILLA-GLOW,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-VAINILLA-GLOW-1L,Aroma Vainilla Glow 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-VAINILLA-GLOW,Capacidad,1 L,1,1,,,,,,,
,variable,AR-WHITE-TEA,Aroma White Tea,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/white-tea.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Bergamota, hojas de té",field_6a3739f9978a5,"Flor de loto, jazmín",field_6a373a0b978a6,"Almizcle blanco, madera clara",field_6a373a15978a7
,variation,AR-WHITE-TEA-150,Aroma White Tea 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-WHITE-TEA,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-WHITE-TEA-250,Aroma White Tea 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-WHITE-TEA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-WHITE-TEA-500,Aroma White Tea 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-WHITE-TEA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-WHITE-TEA-1L,Aroma White Tea 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-WHITE-TEA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-WILD-ADVENTURE,Aroma Wild Adventure,0,visible,,1,,taxable,,Aromas,,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Lavanda, cáscara de limón",field_6a3739f9978a5,Acordes frescos verdes,field_6a373a0b978a6,"Ámbar seco, madera masculina",field_6a373a15978a7
,variation,AR-WILD-ADVENTURE-150,Aroma Wild Adventure 150 ML,0,visible,,1,100,taxable,90.00,Aromas,,AR-WILD-ADVENTURE,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-WILD-ADVENTURE-250,Aroma Wild Adventure 250 ML,0,visible,,1,100,taxable,125.00,Aromas,,AR-WILD-ADVENTURE,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-WILD-ADVENTURE-500,Aroma Wild Adventure 500 ML,0,visible,,1,100,taxable,229.00,Aromas,,AR-WILD-ADVENTURE,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-WILD-ADVENTURE-1L,Aroma Wild Adventure 1 L,0,visible,,1,100,taxable,439.00,Aromas,,AR-WILD-ADVENTURE,Capacidad,1 L,1,1,,,,,,,
,variable,AR-CORAL,Aroma Coral,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/coral.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-CORAL-150,Aroma Coral 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-CORAL,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-CORAL-250,Aroma Coral 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-CORAL,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-CORAL-500,Aroma Coral 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-CORAL,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-CORAL-1L,Aroma Coral 1 L,0,visible,,1,100,taxable,,Aromas,,AR-CORAL,Capacidad,1 L,1,1,,,,,,,
,variable,AR-DULCE-BOUQUET,Aroma Dulce Bouquet,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/dulce-bouquet.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-DULCE-BOUQUET-150,Aroma Dulce Bouquet 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-DULCE-BOUQUET,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-DULCE-BOUQUET-250,Aroma Dulce Bouquet 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-DULCE-BOUQUET,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-DULCE-BOUQUET-500,Aroma Dulce Bouquet 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-DULCE-BOUQUET,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-DULCE-BOUQUET-1L,Aroma Dulce Bouquet 1 L,0,visible,,1,100,taxable,,Aromas,,AR-DULCE-BOUQUET,Capacidad,1 L,1,1,,,,,,,
,variable,AR-FRESCURA-ORIENTAL,Aroma Frescura Oriental,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/frescura-oriental.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-FRESCURA-ORIENTAL-150,Aroma Frescura Oriental 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-FRESCURA-ORIENTAL,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-FRESCURA-ORIENTAL-250,Aroma Frescura Oriental 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-FRESCURA-ORIENTAL,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-FRESCURA-ORIENTAL-500,Aroma Frescura Oriental 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-FRESCURA-ORIENTAL,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-FRESCURA-ORIENTAL-1L,Aroma Frescura Oriental 1 L,0,visible,,1,100,taxable,,Aromas,,AR-FRESCURA-ORIENTAL,Capacidad,1 L,1,1,,,,,,,
,variable,AR-HERBAL-PARADISE,Aroma Herbal Paradise,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/herbal-paradise.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-HERBAL-PARADISE-150,Aroma Herbal Paradise 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-HERBAL-PARADISE,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-HERBAL-PARADISE-250,Aroma Herbal Paradise 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-HERBAL-PARADISE,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-HERBAL-PARADISE-500,Aroma Herbal Paradise 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-HERBAL-PARADISE,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-HERBAL-PARADISE-1L,Aroma Herbal Paradise 1 L,0,visible,,1,100,taxable,,Aromas,,AR-HERBAL-PARADISE,Capacidad,1 L,1,1,,,,,,,
,variable,AR-NICE,Aroma Nice,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/nice.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-NICE-150,Aroma Nice 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-NICE,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-NICE-250,Aroma Nice 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-NICE,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-NICE-500,Aroma Nice 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-NICE,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-NICE-1L,Aroma Nice 1 L,0,visible,,1,100,taxable,,Aromas,,AR-NICE,Capacidad,1 L,1,1,,,,,,,
,variable,AR-OTONO,Aroma Otoño,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/otono.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-OTONO-150,Aroma Otoño 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-OTONO,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-OTONO-250,Aroma Otoño 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-OTONO,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-OTONO-500,Aroma Otoño 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-OTONO,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-OTONO-1L,Aroma Otoño 1 L,0,visible,,1,100,taxable,,Aromas,,AR-OTONO,Capacidad,1 L,1,1,,,,,,,
,variable,AR-VERSALLES,Aroma Versalles,0,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/versalles.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,,,,,,
,variation,AR-VERSALLES-150,Aroma Versalles 150 ML,0,visible,,1,100,taxable,,Aromas,,AR-VERSALLES,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-VERSALLES-250,Aroma Versalles 250 ML,0,visible,,1,100,taxable,,Aromas,,AR-VERSALLES,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-VERSALLES-500,Aroma Versalles 500 ML,0,visible,,1,100,taxable,,Aromas,,AR-VERSALLES,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-VERSALLES-1L,Aroma Versalles 1 L,0,visible,,1,100,taxable,,Aromas,,AR-VERSALLES,Capacidad,1 L,1,1,,,,,,,
