ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variation,AR-PASION-250,Aroma Pasión 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-PASION,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-PASION-500,Aroma Pasión 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-PASION,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-PASION-1L,Aroma Pasión 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-PASION,Capacidad,1 L,1,1,,,,,,,
,variable,AR-PASSION-SOUR,Aroma Passion Sour,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/passion-sour.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Maracuyá, lima",field_6a3739f9978a5,"Mango verde, flor de azahar",field_6a373a0b978a6,"Almizcle, azúcar de caña",field_6a373a15978a7
,variation,AR-PASSION-SOUR-150,Aroma Passion Sour 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-PASSION-SOUR,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-PASSION-SOUR-250,Aroma Passion Sour 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-PASSION-SOUR,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-PASSION-SOUR-500,Aroma Passion Sour 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-PASSION-SOUR,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-PASSION-SOUR-1L,Aroma Passion Sour 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-PASSION-SOUR,Capacidad,1 L,1,1,,,,,,,
,variable,AR-PEONIA,Aroma Peonia,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/peonia.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Pera jugosa, pino siberiano",field_6a3739f9978a5,"Peonía, magnolia, muguet",field_6a373a0b978a6,"Cedarwood, vetiver",field_6a373a15978a7
,variation,AR-PEONIA-150,Aroma Peonia 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-PEONIA,Capacidad,150 ML,1,1,,,,,,,
