ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: difusor","Meta: _difusor","Meta: color","Meta: _color","Meta: cobertura","Meta: _cobertura","Meta: control","Meta: _control","Meta: app","Meta: _app","Meta: capacidad","Meta: _capacidad","Meta: cantidad_de_aroma_de_regalo","Meta: _cantidad_de_aroma_de_regalo","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Meta: notas_de_salida","Meta: _notas_de_salida","Meta: notas_de_corazon","Meta: _notas_de_corazon","Meta: notas_de_fondo","Meta: _notas_de_fondo"
484,variation,AR-CITRUS-BLOOM-250,,"Aroma Citrus Bloom - 250 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,125.00,,,,,,,AR-CITRUS-BLOOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"250 mL",,1,,,,,,
485,variation,AR-CITRUS-BLOOM-500,,"Aroma Citrus Bloom - 500 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,229.00,,,,,,,AR-CITRUS-BLOOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"500 mL",,1,,,,,,
486,variation,AR-CITRUS-BLOOM-1L,,"Aroma Citrus Bloom - 1 L",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,439.00,,,,,,,AR-CITRUS-BLOOM,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L",,1,,,,,,
487,variation,AR-CLASSIC-BLUE-150,,"Aroma Classic Blue - 150 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,90.00,,,,,,,AR-CLASSIC-BLUE,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"150 mL",,1,,,,,,
488,variation,AR-CLASSIC-BLUE-250,,"Aroma Classic Blue - 250 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,125.00,,,,,,,AR-CLASSIC-BLUE,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"250 mL",,1,,,,,,
489,variation,AR-CLASSIC-BLUE-500,,"Aroma Classic Blue - 500 mL",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,229.00,,,,,,,AR-CLASSIC-BLUE,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"500 mL",,1,,,,,,
490,variation,AR-CLASSIC-BLUE-1L,,"Aroma Classic Blue - 1 L",1,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,439.00,,,,,,,AR-CLASSIC-BLUE,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L",,1,,,,,,
491,variable,AR-COCO-ZEN,,"Aroma Coco Zen",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/coco-zen.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Coco cremoso, almendra tostada",field_6a3739f9978a5,"Leche de vainilla, heliotropo",field_6a373a0b978a6,"Sándalo, azúcar de coco",field_6a373a15978a7
492,variable,AR-COOKIE-FOREST,,"Aroma Cookie Forest",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/cookie-forest.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Caramelo cremoso, azúcar",field_6a3739f9978a5,"Galleta de vainilla, nuez",field_6a373a0b978a6,"Madera dulce, leche caliente",field_6a373a15978a7
493,variable,AR-CORTEZA,,"Aroma Corteza",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Aromas,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/corteza.png,,,,,,,,,0,,,,,,,,,,,,,,,,Capacidad,"1 L, 150 mL, 250 mL, 500 mL",1,1,"Frutas acuáticas, ozono limpio",field_6a3739f9978a5,"Notas marinas, pomelo rosado",field_6a373a0b978a6,"Vetiver, madera flotante",field_6a373a15978a7
